country_name;population_2019
Afghanistan;37769499
Albania;2854191
Algeria;42705368
American Samoa;47321
Andorra;76343
Angola;32353588
Antigua and Barbuda;92117
Argentina;44938712
Armenia;2820602
Aruba;106442
Australia;25340217
Austria;8879920
Azerbaijan;10024283
Bahamas, The;404557
Bahrain;1494188
Bangladesh;165516222
Barbados;280180
Belarus;9419758
Belgium;11488980
Belize;389095
Benin;12290444
Bermuda;63911
Bhutan;767459
Bolivia;11777315
Bosnia and Herzegovina;3360711
Botswana;2499702
Brazil;211782878
British Virgin Islands;30610
Brunei Darussalam;438048
Bulgaria;6975761
Burkina Faso;20951639
Burundi;11874838
Cabo Verde;577030
Cambodia;16207746
Cameroon;25782341
Canada;37601230
Cayman Islands;66134
Central African Republic;5209324
Chad;16126866
Channel Islands;169410
Chile;19039485
China;1407745000
Colombia;50187406
Comoros;790986
Congo, Dem. Rep.;89906890
Congo, Rep.;5570733
Costa Rica;5084532
Cote d'Ivoire;26147551
Croatia;4065253
Cuba;11316697
Curacao;157441
Cyprus;1228836
Czechia;10671870
Denmark;5814422
Djibouti;1073994
Dominica;71428
Dominican Republic;10881882
Ecuador;17343740
Egypt, Arab Rep.;105618671
El Salvador;6280217
Equatorial Guinea;1553031
Eritrea;3498818
Estonia;1326898
Eswatini;1169613
Ethiopia;114120594
Faroe Islands;51681
Fiji;918465
Finland;5521606
France;67388001
French Polynesia;299717
Gabon;2242785
Gambia, The;2508883
Georgia;3720161
Germany;83092962
Ghana;31522290
Gibraltar;32685
Greece;10721582
Greenland;56225
Grenada;122724
Guam;168624
Guatemala;16604026
Guinea;12877539
Guinea-Bissau;1970457
Guyana;798753
Haiti;11160438
Honduras;9958829
Hong Kong SAR, China;7507900
Hungary;9771141
Iceland;360563
India;1383112050
Indonesia;269582878
Iran, Islamic Rep.;86564202
Iraq;41563520
Ireland;4934340
Isle of Man;83933
Israel;9054000
Italy;59729081
Jamaica;2813773
Japan;126633000
Jordan;10698683
Kazakhstan;18513673
Kenya;50951450
Kiribati;124241
Korea, Dem. People's Rep.;25755441
Korea, Rep.;51764822
Kosovo;1788878
Kuwait;4441100
Kyrgyz Republic;6456200
Lao PDR;7212053
Latvia;1913822
Lebanon;5781907
Lesotho;2225702
Liberia;4985289
Libya;6569088
Liechtenstein;38482
Lithuania;2794137
Luxembourg;620001
Macao SAR, China;663653
Madagascar;27533134
Malawi;18867337
Malaysia;32804020
Maldives;504508
Mali;20567424
Malta;504062
Marshall Islands;44728
Mauritania;4383849
Mauritius;1265711
Mexico;125085311
Micronesia, Fed. Sts.;111379
Moldova;2664224
Monaco;37034
Mongolia;3232430
Montenegro;622028
Morocco;36304408
Mozambique;30285595
Myanmar;53040212
Namibia;2446644
Nauru;12132
Nepal;28832496
Netherlands;17344874
New Caledonia;271230
New Zealand;4979200
Nicaragua;6663924
Niger;23443393
Nigeria;203304492
North Macedonia;2076694
Northern Mariana Islands;49858
Norway;5347896
Oman;4602768
Pakistan;223293280
Palau;17916
Panama;4232532
Papua New Guinea;9542486
Paraguay;6530026
Peru;32824861
Philippines;110380804
Poland;37965475
Portugal;10286263
Puerto Rico;3193694
Qatar;2807235
Romania;19371648
Russian Federation;144406261
Rwanda;12835028
Samoa;211905
San Marino;34178
Sao Tome and Principe;214599
Saudi Arabia;35827362
Senegal;16000781
Serbia;6945235
Seychelles;97625
Sierra Leone;8046828
Singapore;5703569
Sint Maarten (Dutch part);41608
Slovak Republic;5454147
Slovenia;2088385
Solomon Islands;674993
Somalia;15981300
South Africa;58087055
South Sudan;10447666
Spain;47134837
Sri Lanka;21803000
St. Kitts and Nevis;47712
St. Lucia;178583
St. Martin (French part);33121
St. Vincent and the Grenadines;104924
Sudan;43232093
Suriname;600301
Sweden;10278887
Switzerland;8575280
Syrian Arab Republic;20098251
Tajikistan;9337003
Tanzania;59872579
Thailand;71307763
Timor-Leste;1280438
Togo;8243094
Tonga;104951
Trinidad and Tobago;1519955
Tunisia;12049314
Turkiye;83481684
Turkmenistan;6158420
Turks and Caicos Islands;43080
Tuvalu;10956
Uganda;42949080
Ukraine;44386203
United Arab Emirates;9211657
United Kingdom;66836327
United States;328329953
Uruguay;3428409
Uzbekistan;33580350
Vanuatu;304404
Venezuela, RB;28971683
Vietnam;95776716
Virgin Islands (U.S.);106669
West Bank and Gaza;4685306
Yemen, Rep.;31546691
Zambia;18380477
Zimbabwe;15354608